game_num,runtime,num_players,discussion,name,agent,innocent,killer,killer,num_turns,banished,killed,escaped,num_killed,num_escaped,duplicate_search_rate,vote_rate_for_self,vote_rate_for_killer,witness_vote_rate_for_killer,non_witness_vote_rate_for_killer,
37,7.398831129,4,TRUE,Sally,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,7,FALSE,TRUE,FALSE,,,0,,,,,
37,7.398831129,4,TRUE,Bob,gpt3-curie,gpt3-curie,gpt3-curie,TRUE,7,FALSE,,,1,2,,,,,,
37,7.398831129,4,TRUE,Lena,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,4,FALSE,FALSE,TRUE,,,0.5,,,,,
37,7.398831129,4,TRUE,Tim,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,5,FALSE,FALSE,TRUE,,,,,,,,
38,7.060556173,4,TRUE,Regan,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,3,FALSE,FALSE,FALSE,,,,0,1,,1,
38,7.060556173,4,TRUE,Sally,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,3,FALSE,TRUE,FALSE,,,,,,,,
38,7.060556173,4,TRUE,Bob,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,3,FALSE,FALSE,FALSE,,,,0,1,,1,
38,7.060556173,4,TRUE,Bryce,gpt3-curie,gpt3-curie,gpt3-curie,TRUE,3,TRUE,,,1,0,,1,1,,1,
39,5.323914051,4,TRUE,Tim,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,2,FALSE,TRUE,FALSE,,,,,,,,
39,5.323914051,4,TRUE,Sally,gpt3-curie,gpt3-curie,gpt3-curie,TRUE,2,TRUE,,,1,0,,1,1,1,,
39,5.323914051,4,TRUE,Bryce,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,2,FALSE,FALSE,FALSE,,,,0,1,1,,
39,5.323914051,4,TRUE,Regan,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,2,FALSE,FALSE,FALSE,,,,0,1,,1,
40,10.19363189,4,TRUE,Sally,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,1,FALSE,TRUE,FALSE,,,,,,,,
40,10.19363189,4,TRUE,Bryce,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,5,FALSE,TRUE,FALSE,,,0,1,0,0,,
40,10.19363189,4,TRUE,Bob,gpt3-curie,gpt3-curie,gpt3-curie,TRUE,5,FALSE,,,3,0,,1,1,1,1,
40,10.19363189,4,TRUE,Tim,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,3,FALSE,TRUE,FALSE,,,,1,0,,0,
41,7.976788282,4,TRUE,Sally,gpt3-curie,gpt3-curie,gpt3-curie,TRUE,5,FALSE,,,2,0,,1,1,,1,
41,7.976788282,4,TRUE,Regan,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,3,FALSE,TRUE,FALSE,,,0,,,,,
41,7.976788282,4,TRUE,Tim,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,3,TRUE,FALSE,FALSE,,,0,1,0,,0,
41,7.976788282,4,TRUE,Bob,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,5,FALSE,TRUE,FALSE,,,,0,0,,0,
42,11.207551,4,TRUE,Sally,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,1,FALSE,TRUE,FALSE,,,,,,,,
42,11.207551,4,TRUE,Bryce,gpt3-curie,gpt3-curie,gpt3-curie,TRUE,10,FALSE,,,2,0,,0,0,,0,
42,11.207551,4,TRUE,Tim,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,1,TRUE,FALSE,FALSE,,,,1,0,,0,
42,11.207551,4,TRUE,Lena,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,10,FALSE,TRUE,FALSE,,,0,0,0,,0,
43,5.460123062,4,TRUE,Regan,gpt3-curie,gpt3-curie,gpt3-curie,TRUE,2,TRUE,,,1,0,,1,1,,1,
43,5.460123062,4,TRUE,Bob,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,2,FALSE,FALSE,FALSE,,,0,0,1,,1,
43,5.460123062,4,TRUE,Bryce,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,2,FALSE,TRUE,FALSE,,,,,,,,
43,5.460123062,4,TRUE,Sally,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,2,FALSE,FALSE,FALSE,,,0.5,0,0,,0,
44,12.60840511,4,TRUE,Tim,gpt3-curie,gpt3-curie,gpt3-curie,TRUE,6,TRUE,,,1,0,,1,1,,1,
44,12.60840511,4,TRUE,Bryce,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,6,FALSE,TRUE,FALSE,,,0.333333333,,,,,
44,12.60840511,4,TRUE,Regan,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,6,FALSE,FALSE,FALSE,,,0,0,0,,0,
44,12.60840511,4,TRUE,Sally,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,6,FALSE,FALSE,FALSE,,,,0,1,,1,
45,7.332037926,4,TRUE,Regan,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,4,FALSE,TRUE,FALSE,,,0,0,0,,0,
45,7.332037926,4,TRUE,Bryce,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,2,FALSE,TRUE,FALSE,,,,,,,,
45,7.332037926,4,TRUE,Sally,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,2,TRUE,FALSE,FALSE,,,,1,0,0,,
45,7.332037926,4,TRUE,Bob,gpt3-curie,gpt3-curie,gpt3-curie,TRUE,4,FALSE,,,2,0,,0,0,,0,
46,9.266628981,4,TRUE,Bob,gpt3-curie,gpt3-curie,gpt3-curie,FALSE,4,FALSE,TRUE,FALSE,,,0,0,0,,0,
